,Kaina,Markė,Modelis,Metai,Kuro tipas,Kėbulo tipas,Pavarų dėžė,Variklis,Rida
11452,25 500 €,Mercedes-Benz,A250,2018-06,Benzinas,Hečbekas,Automatinė,"2.0 l., 165 kW",42 000 km
11453,25 500 €,Lexus,NX 300h,2018-03,Benzinas / elektra,Visureigis,Automatinė,"2.5 l., 145 kW",195 000 km
11454,25 500 €,Dodge,Durango,2018,Benzinas,Visureigis,Automatinė,"5.7 l., 265 kW",121 000 km
11455,25 500 €,Mercedes-Benz,E220,2017-11,Dyzelinas,Kupė (Coupe),Automatinė,"2.0 l., 143 kW",55 000 km
11456,25 000 €,Tesla,Model Y,2021,Elektra,Visureigis,Automatinė,31 949 km,Klaipėda
11457,25 000 €,Porsche,Cayenne,2012-02,Benzinas,Visureigis,Automatinė,"4.8 l., 368 kW",231 000 km
11458,25 000 €,Volvo,V90,2017-07,Dyzelinas,Universalas,Automatinė,"2.0 l., 140 kW",181 000 km
11459,25 000 €,Toyota,C-HR,2020-08,Benzinas / elektra,Visureigis,Automatinė,"1.8 l., 90 kW",54 000 km
11460,25 047 €,Peugeot,Traveller,2020-07,Dyzelinas,Keleivinis mikroautobusas,Mechaninė,"1.5 l., 88 kW",180 000 km
11461,25 300 €,Toyota,C-HR,2017-01,Benzinas / elektra,Visureigis,Automatinė,"1.8 l., 72 kW",90 800 km
11462,25 300 €,Lexus,NX 300h,2014-12,Benzinas / elektra,Visureigis,Automatinė,"2.5 l., 145 kW",117 900 km
11463,25 300 €,Lexus,NX 300h,2015,Benzinas / elektra,Visureigis,Automatinė,"2.5 l., 145 kW",151 900 km
11464,25 300 €,Volvo,S90,2018-09,Dyzelinas,Sedanas,Automatinė,"2.0 l.,",160 000 km
11465,25 300 €,Volvo,XC60,2019-05,Dyzelinas,Visureigis,Automatinė,"2.0 l., 173 kW",255 300 km
11466,25 400 €,Skoda,Kodiaq,2019-03,Dyzelinas,Visureigis,Automatinė,"2.0 l., 110 kW",160 000 km
11467,25 400 €,BMW,X4,2017-04,Dyzelinas,Visureigis,Automatinė,"2.0 l., 140 kW",220 000 km
11468,25 490 €,Toyota,C-HR,2021-03,Benzinas / elektra,Visureigis,Automatinė,"1.8 l., 72 kW",42 200 km
11469,25 490 €,Toyota,C-HR,2022-01,Benzinas / elektra,Visureigis,Automatinė,"1.8 l., 90 kW",6 388 km
11470,25 499 €,Peugeot,5008,2018-01,Dyzelinas,Visureigis,Automatinė,"2.0 l., 133 kW",112 901 km
11471,25 500 €,BMW,520,2018-12,Dyzelinas,Universalas,Automatinė,"2.0 l., 140 kW",78 700 km
11472,25 500 €,Mercedes-Benz,A250,2018-06,Benzinas,Hečbekas,Automatinė,"2.0 l., 165 kW",42 000 km
11473,25 500 €,Lexus,NX 300h,2018-03,Benzinas / elektra,Visureigis,Automatinė,"2.5 l., 145 kW",195 000 km
11474,25 500 €,Dodge,Durango,2018,Benzinas,Visureigis,Automatinė,"5.7 l., 265 kW",121 000 km
11475,25 500 €,Mercedes-Benz,E220,2017-11,Dyzelinas,Kupė (Coupe),Automatinė,"2.0 l., 143 kW",55 000 km
11476,25 000 €,Audi,A3,2017-01,Benzinas,Sedanas,Automatinė,"2.0 l., 162 kW",56 627 km
11477,25 000 €,Tesla,Model Y,2021,Elektra,Visureigis,Automatinė,31 949 km,Klaipėda
11478,25 000 €,Volvo,V90,2017-07,Dyzelinas,Universalas,Automatinė,"2.0 l., 140 kW",181 000 km
11479,25 000 €,Toyota,C-HR,2020-08,Benzinas / elektra,Visureigis,Automatinė,"1.8 l., 90 kW",54 000 km
11480,25 047 €,Peugeot,Traveller,2020-07,Dyzelinas,Keleivinis mikroautobusas,Mechaninė,"1.5 l., 88 kW",180 000 km
11481,25 300 €,Toyota,C-HR,2017-01,Benzinas / elektra,Visureigis,Automatinė,"1.8 l., 72 kW",90 800 km
11482,25 300 €,Lexus,NX 300h,2014-12,Benzinas / elektra,Visureigis,Automatinė,"2.5 l., 145 kW",117 900 km
11483,25 300 €,Lexus,NX 300h,2015,Benzinas / elektra,Visureigis,Automatinė,"2.5 l., 145 kW",151 900 km
11484,25 300 €,Volvo,S90,2018-09,Dyzelinas,Sedanas,Automatinė,"2.0 l.,",160 000 km
11485,25 300 €,Volvo,XC60,2019-05,Dyzelinas,Visureigis,Automatinė,"2.0 l., 173 kW",255 300 km
11486,25 400 €,Skoda,Kodiaq,2019-03,Dyzelinas,Visureigis,Automatinė,"2.0 l., 110 kW",160 000 km
11487,25 400 €,BMW,X4,2017-04,Dyzelinas,Visureigis,Automatinė,"2.0 l., 140 kW",220 000 km
11488,25 490 €,Toyota,C-HR,2021-03,Benzinas / elektra,Visureigis,Automatinė,"1.8 l., 72 kW",42 200 km
11489,25 490 €,Toyota,C-HR,2022-01,Benzinas / elektra,Visureigis,Automatinė,"1.8 l., 90 kW",6 388 km
11490,25 499 €,Peugeot,5008,2018-01,Dyzelinas,Visureigis,Automatinė,"2.0 l., 133 kW",112 901 km
11491,25 500 €,BMW,520,2018-12,Dyzelinas,Universalas,Automatinė,"2.0 l., 140 kW",78 700 km
11492,25 500 €,Mercedes-Benz,A250,2018-06,Benzinas,Hečbekas,Automatinė,"2.0 l., 165 kW",42 000 km
11493,25 500 €,Lexus,NX 300h,2018-03,Benzinas / elektra,Visureigis,Automatinė,"2.5 l., 145 kW",195 000 km
11494,25 500 €,Dodge,Durango,2018,Benzinas,Visureigis,Automatinė,"5.7 l., 265 kW",121 000 km
11495,25 500 €,Mercedes-Benz,E220,2017-11,Dyzelinas,Kupė (Coupe),Automatinė,"2.0 l., 143 kW",55 000 km
11496,25 000 €,Porsche,Cayenne,2012-02,Benzinas,Visureigis,Automatinė,"4.8 l., 368 kW",231 000 km
11497,25 000 €,Tesla,Model Y,2021,Elektra,Visureigis,Automatinė,31 949 km,Klaipėda
11498,25 000 €,Volvo,V90,2017-07,Dyzelinas,Universalas,Automatinė,"2.0 l., 140 kW",181 000 km
11499,25 000 €,Toyota,C-HR,2020-08,Benzinas / elektra,Visureigis,Automatinė,"1.8 l., 90 kW",54 000 km
11500,25 047 €,Peugeot,Traveller,2020-07,Dyzelinas,Keleivinis mikroautobusas,Mechaninė,"1.5 l., 88 kW",180 000 km
11501,25 300 €,Toyota,C-HR,2017-01,Benzinas / elektra,Visureigis,Automatinė,"1.8 l., 72 kW",90 800 km
11502,25 300 €,Lexus,NX 300h,2014-12,Benzinas / elektra,Visureigis,Automatinė,"2.5 l., 145 kW",117 900 km
11503,25 300 €,Lexus,NX 300h,2015,Benzinas / elektra,Visureigis,Automatinė,"2.5 l., 145 kW",151 900 km
11504,25 300 €,Volvo,S90,2018-09,Dyzelinas,Sedanas,Automatinė,"2.0 l.,",160 000 km
11505,25 300 €,Volvo,XC60,2019-05,Dyzelinas,Visureigis,Automatinė,"2.0 l., 173 kW",255 300 km
11506,25 400 €,Skoda,Kodiaq,2019-03,Dyzelinas,Visureigis,Automatinė,"2.0 l., 110 kW",160 000 km
11507,25 400 €,BMW,X4,2017-04,Dyzelinas,Visureigis,Automatinė,"2.0 l., 140 kW",220 000 km
11508,25 490 €,Toyota,C-HR,2022-01,Benzinas / elektra,Visureigis,Automatinė,"1.8 l., 90 kW",6 388 km
11509,25 490 €,Toyota,C-HR,2021-03,Benzinas / elektra,Visureigis,Automatinė,"1.8 l., 72 kW",42 200 km
11510,25 499 €,Peugeot,5008,2018-01,Dyzelinas,Visureigis,Automatinė,"2.0 l., 133 kW",112 901 km
11511,25 500 €,BMW,520,2018-12,Dyzelinas,Universalas,Automatinė,"2.0 l., 140 kW",78 700 km
11512,25 500 €,Mercedes-Benz,A250,2018-06,Benzinas,Hečbekas,Automatinė,"2.0 l., 165 kW",42 000 km
11513,25 500 €,Lexus,NX 300h,2018-03,Benzinas / elektra,Visureigis,Automatinė,"2.5 l., 145 kW",195 000 km
11514,25 500 €,Volkswagen,Arteon,2018-04,Dyzelinas,Hečbekas,Automatinė,"2.0 l., 110 kW",163 582 km
11515,25 500 €,Dodge,Durango,2018,Benzinas,Visureigis,Automatinė,"5.7 l., 265 kW",121 000 km
11516,25 000 €,Tesla,Model Y,2021,Elektra,Visureigis,Automatinė,31 949 km,Klaipėda
11517,25 000 €,Porsche,Cayenne,2012-02,Benzinas,Visureigis,Automatinė,"4.8 l., 368 kW",231 000 km
11518,25 000 €,Volvo,V90,2017-07,Dyzelinas,Universalas,Automatinė,"2.0 l., 140 kW",181 000 km
11519,25 000 €,Toyota,C-HR,2020-08,Benzinas / elektra,Visureigis,Automatinė,"1.8 l., 90 kW",54 000 km
11520,25 047 €,Peugeot,Traveller,2020-07,Dyzelinas,Keleivinis mikroautobusas,Mechaninė,"1.5 l., 88 kW",180 000 km
11521,25 300 €,Toyota,C-HR,2017-01,Benzinas / elektra,Visureigis,Automatinė,"1.8 l., 72 kW",90 800 km
11522,25 300 €,Lexus,NX 300h,2014-12,Benzinas / elektra,Visureigis,Automatinė,"2.5 l., 145 kW",117 900 km
11523,25 300 €,Lexus,NX 300h,2015,Benzinas / elektra,Visureigis,Automatinė,"2.5 l., 145 kW",151 900 km
11524,25 300 €,Volvo,S90,2018-09,Dyzelinas,Sedanas,Automatinė,"2.0 l.,",160 000 km
11525,25 300 €,Volvo,XC60,2019-05,Dyzelinas,Visureigis,Automatinė,"2.0 l., 173 kW",255 300 km
11526,25 400 €,Skoda,Kodiaq,2019-03,Dyzelinas,Visureigis,Automatinė,"2.0 l., 110 kW",160 000 km
11527,25 400 €,BMW,X4,2017-04,Dyzelinas,Visureigis,Automatinė,"2.0 l., 140 kW",220 000 km
11528,25 490 €,Toyota,C-HR,2021-03,Benzinas / elektra,Visureigis,Automatinė,"1.8 l., 72 kW",42 200 km
11529,25 490 €,Toyota,C-HR,2022-01,Benzinas / elektra,Visureigis,Automatinė,"1.8 l., 90 kW",6 388 km
11530,25 499 €,Peugeot,5008,2018-01,Dyzelinas,Visureigis,Automatinė,"2.0 l., 133 kW",112 901 km
11531,25 500 €,BMW,520,2018-12,Dyzelinas,Universalas,Automatinė,"2.0 l., 140 kW",78 700 km
11532,25 500 €,Mercedes-Benz,A250,2018-06,Benzinas,Hečbekas,Automatinė,"2.0 l., 165 kW",42 000 km
11533,25 500 €,Lexus,NX 300h,2018-03,Benzinas / elektra,Visureigis,Automatinė,"2.5 l., 145 kW",195 000 km
11534,25 500 €,Dodge,Durango,2018,Benzinas,Visureigis,Automatinė,"5.7 l., 265 kW",121 000 km
11535,25 500 €,Mercedes-Benz,E220,2017-11,Dyzelinas,Kupė (Coupe),Automatinė,"2.0 l., 143 kW",55 000 km
11536,25 000 €,Porsche,Cayenne,2012-02,Benzinas,Visureigis,Automatinė,"4.8 l., 368 kW",231 000 km
11537,25 000 €,Tesla,Model Y,2021,Elektra,Visureigis,Automatinė,31 949 km,Klaipėda
11538,25 000 €,Volvo,V90,2017-07,Dyzelinas,Universalas,Automatinė,"2.0 l., 140 kW",181 000 km
11539,25 000 €,Toyota,C-HR,2020-08,Benzinas / elektra,Visureigis,Automatinė,"1.8 l., 90 kW",54 000 km
11540,25 047 €,Peugeot,Traveller,2020-07,Dyzelinas,Keleivinis mikroautobusas,Mechaninė,"1.5 l., 88 kW",180 000 km
11541,25 300 €,Toyota,C-HR,2017-01,Benzinas / elektra,Visureigis,Automatinė,"1.8 l., 72 kW",90 800 km
11542,25 300 €,Lexus,NX 300h,2014-12,Benzinas / elektra,Visureigis,Automatinė,"2.5 l., 145 kW",117 900 km
11543,25 300 €,Lexus,NX 300h,2015,Benzinas / elektra,Visureigis,Automatinė,"2.5 l., 145 kW",151 900 km
11544,25 300 €,Volvo,S90,2018-09,Dyzelinas,Sedanas,Automatinė,"2.0 l.,",160 000 km
11545,25 300 €,Volvo,XC60,2019-05,Dyzelinas,Visureigis,Automatinė,"2.0 l., 173 kW",255 300 km
11546,25 400 €,Skoda,Kodiaq,2019-03,Dyzelinas,Visureigis,Automatinė,"2.0 l., 110 kW",160 000 km
11547,25 400 €,BMW,X4,2017-04,Dyzelinas,Visureigis,Automatinė,"2.0 l., 140 kW",220 000 km
11548,25 490 €,Toyota,C-HR,2022-01,Benzinas / elektra,Visureigis,Automatinė,"1.8 l., 90 kW",6 388 km
11549,25 490 €,Toyota,C-HR,2021-03,Benzinas / elektra,Visureigis,Automatinė,"1.8 l., 72 kW",42 200 km
11550,25 499 €,Peugeot,5008,2018-01,Dyzelinas,Visureigis,Automatinė,"2.0 l., 133 kW",112 901 km
11551,25 500 €,BMW,520,2018-12,Dyzelinas,Universalas,Automatinė,"2.0 l., 140 kW",78 700 km
11552,25 500 €,Mercedes-Benz,A250,2018-06,Benzinas,Hečbekas,Automatinė,"2.0 l., 165 kW",42 000 km
11553,25 500 €,Lexus,NX 300h,2018-03,Benzinas / elektra,Visureigis,Automatinė,"2.5 l., 145 kW",195 000 km
11554,25 500 €,Volkswagen,Arteon,2018-04,Dyzelinas,Hečbekas,Automatinė,"2.0 l., 110 kW",163 582 km
11555,25 500 €,Dodge,Durango,2018,Benzinas,Visureigis,Automatinė,"5.7 l., 265 kW",121 000 km
11556,25 000 €,Porsche,Cayenne,2012-02,Benzinas,Visureigis,Automatinė,"4.8 l., 368 kW",231 000 km
11557,25 000 €,Tesla,Model Y,2021,Elektra,Visureigis,Automatinė,31 949 km,Klaipėda
11558,25 000 €,Volvo,V90,2017-07,Dyzelinas,Universalas,Automatinė,"2.0 l., 140 kW",181 000 km
11559,25 000 €,Toyota,C-HR,2020-08,Benzinas / elektra,Visureigis,Automatinė,"1.8 l., 90 kW",54 000 km
11560,25 047 €,Peugeot,Traveller,2020-07,Dyzelinas,Keleivinis mikroautobusas,Mechaninė,"1.5 l., 88 kW",180 000 km
11561,25 300 €,Toyota,C-HR,2017-01,Benzinas / elektra,Visureigis,Automatinė,"1.8 l., 72 kW",90 800 km
11562,25 300 €,Lexus,NX 300h,2014-12,Benzinas / elektra,Visureigis,Automatinė,"2.5 l., 145 kW",117 900 km
11563,25 300 €,Lexus,NX 300h,2015,Benzinas / elektra,Visureigis,Automatinė,"2.5 l., 145 kW",151 900 km
11564,25 300 €,Volvo,S90,2018-09,Dyzelinas,Sedanas,Automatinė,"2.0 l.,",160 000 km
11565,25 300 €,Volvo,XC60,2019-05,Dyzelinas,Visureigis,Automatinė,"2.0 l., 173 kW",255 300 km
11566,25 400 €,Skoda,Kodiaq,2019-03,Dyzelinas,Visureigis,Automatinė,"2.0 l., 110 kW",160 000 km
11567,25 400 €,BMW,X4,2017-04,Dyzelinas,Visureigis,Automatinė,"2.0 l., 140 kW",220 000 km
11568,25 490 €,Toyota,C-HR,2022-01,Benzinas / elektra,Visureigis,Automatinė,"1.8 l., 90 kW",6 388 km
11569,25 490 €,Toyota,C-HR,2021-03,Benzinas / elektra,Visureigis,Automatinė,"1.8 l., 72 kW",42 200 km
11570,25 499 €,Peugeot,5008,2018-01,Dyzelinas,Visureigis,Automatinė,"2.0 l., 133 kW",112 901 km
11571,25 500 €,BMW,520,2018-12,Dyzelinas,Universalas,Automatinė,"2.0 l., 140 kW",78 700 km
11572,25 500 €,Mercedes-Benz,A250,2018-06,Benzinas,Hečbekas,Automatinė,"2.0 l., 165 kW",42 000 km
11573,25 500 €,Lexus,NX 300h,2018-03,Benzinas / elektra,Visureigis,Automatinė,"2.5 l., 145 kW",195 000 km
11574,25 500 €,Volkswagen,Arteon,2018-04,Dyzelinas,Hečbekas,Automatinė,"2.0 l., 110 kW",163 582 km
11575,25 500 €,Dodge,Durango,2018,Benzinas,Visureigis,Automatinė,"5.7 l., 265 kW",121 000 km
11576,25 000 €,Tesla,Model Y,2021,Elektra,Visureigis,Automatinė,31 949 km,Klaipėda
11577,25 000 €,Porsche,Cayenne,2012-02,Benzinas,Visureigis,Automatinė,"4.8 l., 368 kW",231 000 km
11578,25 000 €,Volvo,V90,2017-07,Dyzelinas,Universalas,Automatinė,"2.0 l., 140 kW",181 000 km
11579,25 000 €,Toyota,C-HR,2020-08,Benzinas / elektra,Visureigis,Automatinė,"1.8 l., 90 kW",54 000 km
11580,25 047 €,Peugeot,Traveller,2020-07,Dyzelinas,Keleivinis mikroautobusas,Mechaninė,"1.5 l., 88 kW",180 000 km
11581,25 300 €,Toyota,C-HR,2017-01,Benzinas / elektra,Visureigis,Automatinė,"1.8 l., 72 kW",90 800 km
11582,25 300 €,Lexus,NX 300h,2014-12,Benzinas / elektra,Visureigis,Automatinė,"2.5 l., 145 kW",117 900 km
11583,25 300 €,Lexus,NX 300h,2015,Benzinas / elektra,Visureigis,Automatinė,"2.5 l., 145 kW",151 900 km
11584,25 300 €,Volvo,S90,2018-09,Dyzelinas,Sedanas,Automatinė,"2.0 l.,",160 000 km
11585,25 300 €,Volvo,XC60,2019-05,Dyzelinas,Visureigis,Automatinė,"2.0 l., 173 kW",255 300 km
11586,25 400 €,Skoda,Kodiaq,2019-03,Dyzelinas,Visureigis,Automatinė,"2.0 l., 110 kW",160 000 km
11587,25 400 €,BMW,X4,2017-04,Dyzelinas,Visureigis,Automatinė,"2.0 l., 140 kW",220 000 km
11588,25 490 €,Toyota,C-HR,2021-03,Benzinas / elektra,Visureigis,Automatinė,"1.8 l., 72 kW",42 200 km
11589,25 490 €,Toyota,C-HR,2022-01,Benzinas / elektra,Visureigis,Automatinė,"1.8 l., 90 kW",6 388 km
11590,25 499 €,Peugeot,5008,2018-01,Dyzelinas,Visureigis,Automatinė,"2.0 l., 133 kW",112 901 km
11591,25 500 €,BMW,520,2018-12,Dyzelinas,Universalas,Automatinė,"2.0 l., 140 kW",78 700 km
11592,25 500 €,Mercedes-Benz,A250,2018-06,Benzinas,Hečbekas,Automatinė,"2.0 l., 165 kW",42 000 km
11593,25 500 €,Lexus,NX 300h,2018-03,Benzinas / elektra,Visureigis,Automatinė,"2.5 l., 145 kW",195 000 km
11594,25 500 €,Dodge,Durango,2018,Benzinas,Visureigis,Automatinė,"5.7 l., 265 kW",121 000 km
11595,25 500 €,Mercedes-Benz,E220,2017-11,Dyzelinas,Kupė (Coupe),Automatinė,"2.0 l., 143 kW",55 000 km
11596,25 000 €,Tesla,Model Y,2021,Elektra,Visureigis,Automatinė,31 949 km,Klaipėda
11597,25 000 €,Porsche,Cayenne,2012-02,Benzinas,Visureigis,Automatinė,"4.8 l., 368 kW",231 000 km
11598,25 000 €,Volvo,V90,2017-07,Dyzelinas,Universalas,Automatinė,"2.0 l., 140 kW",181 000 km
11599,25 000 €,Toyota,C-HR,2020-08,Benzinas / elektra,Visureigis,Automatinė,"1.8 l., 90 kW",54 000 km
11600,25 047 €,Peugeot,Traveller,2020-07,Dyzelinas,Keleivinis mikroautobusas,Mechaninė,"1.5 l., 88 kW",180 000 km
11601,25 300 €,Toyota,C-HR,2017-01,Benzinas / elektra,Visureigis,Automatinė,"1.8 l., 72 kW",90 800 km
11602,25 300 €,Lexus,NX 300h,2014-12,Benzinas / elektra,Visureigis,Automatinė,"2.5 l., 145 kW",117 900 km
11603,25 300 €,Lexus,NX 300h,2015,Benzinas / elektra,Visureigis,Automatinė,"2.5 l., 145 kW",151 900 km
11604,25 300 €,Volvo,S90,2018-09,Dyzelinas,Sedanas,Automatinė,"2.0 l.,",160 000 km
11605,25 300 €,Volvo,XC60,2019-05,Dyzelinas,Visureigis,Automatinė,"2.0 l., 173 kW",255 300 km
11606,25 400 €,Skoda,Kodiaq,2019-03,Dyzelinas,Visureigis,Automatinė,"2.0 l., 110 kW",160 000 km
11607,25 400 €,BMW,X4,2017-04,Dyzelinas,Visureigis,Automatinė,"2.0 l., 140 kW",220 000 km
11608,25 490 €,Toyota,C-HR,2021-03,Benzinas / elektra,Visureigis,Automatinė,"1.8 l., 72 kW",42 200 km
11609,25 490 €,Toyota,C-HR,2022-01,Benzinas / elektra,Visureigis,Automatinė,"1.8 l., 90 kW",6 388 km
11610,25 499 €,Peugeot,5008,2018-01,Dyzelinas,Visureigis,Automatinė,"2.0 l., 133 kW",112 901 km
11611,25 500 €,BMW,520,2018-12,Dyzelinas,Universalas,Automatinė,"2.0 l., 140 kW",78 700 km
11612,25 500 €,Mercedes-Benz,A250,2018-06,Benzinas,Hečbekas,Automatinė,"2.0 l., 165 kW",42 000 km
11613,25 500 €,Lexus,NX 300h,2018-03,Benzinas / elektra,Visureigis,Automatinė,"2.5 l., 145 kW",195 000 km
11614,25 500 €,Dodge,Durango,2018,Benzinas,Visureigis,Automatinė,"5.7 l., 265 kW",121 000 km
11615,25 500 €,Mercedes-Benz,E220,2017-11,Dyzelinas,Kupė (Coupe),Automatinė,"2.0 l., 143 kW",55 000 km
11616,25 000 €,Tesla,Model Y,2021,Elektra,Visureigis,Automatinė,31 949 km,Klaipėda
11617,25 000 €,Volkswagen,Touran,2019-06,Benzinas,Vienatūris,Automatinė,"1.5 l., 110 kW",70 015 km
11618,25 000 €,Volvo,V90,2017-07,Dyzelinas,Universalas,Automatinė,"2.0 l., 140 kW",181 000 km
11619,25 000 €,Toyota,C-HR,2020-08,Benzinas / elektra,Visureigis,Automatinė,"1.8 l., 90 kW",54 000 km
11620,25 047 €,Peugeot,Traveller,2020-07,Dyzelinas,Keleivinis mikroautobusas,Mechaninė,"1.5 l., 88 kW",180 000 km
11621,25 300 €,Toyota,C-HR,2017-01,Benzinas / elektra,Visureigis,Automatinė,"1.8 l., 72 kW",90 800 km
11622,25 300 €,Lexus,NX 300h,2014-12,Benzinas / elektra,Visureigis,Automatinė,"2.5 l., 145 kW",117 900 km
11623,25 300 €,Lexus,NX 300h,2015,Benzinas / elektra,Visureigis,Automatinė,"2.5 l., 145 kW",151 900 km
11624,25 300 €,Volvo,S90,2018-09,Dyzelinas,Sedanas,Automatinė,"2.0 l.,",160 000 km
11625,25 300 €,Volvo,XC60,2019-05,Dyzelinas,Visureigis,Automatinė,"2.0 l., 173 kW",255 300 km
11626,25 400 €,Skoda,Kodiaq,2019-03,Dyzelinas,Visureigis,Automatinė,"2.0 l., 110 kW",160 000 km
11627,25 400 €,BMW,X4,2017-04,Dyzelinas,Visureigis,Automatinė,"2.0 l., 140 kW",220 000 km
11628,25 490 €,Toyota,C-HR,2021-03,Benzinas / elektra,Visureigis,Automatinė,"1.8 l., 72 kW",42 200 km
11629,25 490 €,Toyota,C-HR,2022-01,Benzinas / elektra,Visureigis,Automatinė,"1.8 l., 90 kW",6 388 km
11630,25 499 €,Peugeot,5008,2018-01,Dyzelinas,Visureigis,Automatinė,"2.0 l., 133 kW",112 901 km
11631,25 500 €,BMW,520,2018-12,Dyzelinas,Universalas,Automatinė,"2.0 l., 140 kW",78 700 km
11632,25 500 €,Mercedes-Benz,A250,2018-06,Benzinas,Hečbekas,Automatinė,"2.0 l., 165 kW",42 000 km
11633,25 500 €,Lexus,NX 300h,2018-03,Benzinas / elektra,Visureigis,Automatinė,"2.5 l., 145 kW",195 000 km
11634,25 500 €,Mercedes-Benz,E220,2017-11,Dyzelinas,Kupė (Coupe),Automatinė,"2.0 l., 143 kW",55 000 km
11635,25 500 €,Dodge,Durango,2018,Benzinas,Visureigis,Automatinė,"5.7 l., 265 kW",121 000 km
11636,25 000 €,Audi,A3,2017-01,Benzinas,Sedanas,Automatinė,"2.0 l., 162 kW",56 627 km
11637,25 000 €,Tesla,Model Y,2021,Elektra,Visureigis,Automatinė,31 949 km,Klaipėda
11638,25 000 €,Volvo,V90,2017-07,Dyzelinas,Universalas,Automatinė,"2.0 l., 140 kW",181 000 km
11639,25 000 €,Toyota,C-HR,2020-08,Benzinas / elektra,Visureigis,Automatinė,"1.8 l., 90 kW",54 000 km
11640,25 047 €,Peugeot,Traveller,2020-07,Dyzelinas,Keleivinis mikroautobusas,Mechaninė,"1.5 l., 88 kW",180 000 km
11641,25 300 €,Toyota,C-HR,2017-01,Benzinas / elektra,Visureigis,Automatinė,"1.8 l., 72 kW",90 800 km
11642,25 300 €,Lexus,NX 300h,2014-12,Benzinas / elektra,Visureigis,Automatinė,"2.5 l., 145 kW",117 900 km
11643,25 300 €,Lexus,NX 300h,2015,Benzinas / elektra,Visureigis,Automatinė,"2.5 l., 145 kW",151 900 km
11644,25 300 €,Volvo,S90,2018-09,Dyzelinas,Sedanas,Automatinė,"2.0 l.,",160 000 km
11645,25 300 €,Volvo,XC60,2019-05,Dyzelinas,Visureigis,Automatinė,"2.0 l., 173 kW",255 300 km
11646,25 400 €,Skoda,Kodiaq,2019-03,Dyzelinas,Visureigis,Automatinė,"2.0 l., 110 kW",160 000 km
11647,25 400 €,BMW,X4,2017-04,Dyzelinas,Visureigis,Automatinė,"2.0 l., 140 kW",220 000 km
11648,25 490 €,Toyota,C-HR,2021-03,Benzinas / elektra,Visureigis,Automatinė,"1.8 l., 72 kW",42 200 km
11649,25 490 €,Toyota,C-HR,2022-01,Benzinas / elektra,Visureigis,Automatinė,"1.8 l., 90 kW",6 388 km
11650,25 499 €,Peugeot,5008,2018-01,Dyzelinas,Visureigis,Automatinė,"2.0 l., 133 kW",112 901 km
11651,25 500 €,BMW,520,2018-12,Dyzelinas,Universalas,Automatinė,"2.0 l., 140 kW",78 700 km
11652,25 500 €,Mercedes-Benz,A250,2018-06,Benzinas,Hečbekas,Automatinė,"2.0 l., 165 kW",42 000 km
11653,25 500 €,Lexus,NX 300h,2018-03,Benzinas / elektra,Visureigis,Automatinė,"2.5 l., 145 kW",195 000 km
11654,25 500 €,Dodge,Durango,2018,Benzinas,Visureigis,Automatinė,"5.7 l., 265 kW",121 000 km
11655,25 500 €,Mercedes-Benz,E220,2017-11,Dyzelinas,Kupė (Coupe),Automatinė,"2.0 l., 143 kW",55 000 km
11656,25 000 €,Tesla,Model Y,2021,Elektra,Visureigis,Automatinė,31 949 km,Klaipėda
11657,25 000 €,Porsche,Cayenne,2012-02,Benzinas,Visureigis,Automatinė,"4.8 l., 368 kW",231 000 km
11658,25 000 €,Volvo,V90,2017-07,Dyzelinas,Universalas,Automatinė,"2.0 l., 140 kW",181 000 km
11659,25 000 €,Toyota,C-HR,2020-08,Benzinas / elektra,Visureigis,Automatinė,"1.8 l., 90 kW",54 000 km
11660,25 047 €,Peugeot,Traveller,2020-07,Dyzelinas,Keleivinis mikroautobusas,Mechaninė,"1.5 l., 88 kW",180 000 km
11661,25 300 €,Toyota,C-HR,2017-01,Benzinas / elektra,Visureigis,Automatinė,"1.8 l., 72 kW",90 800 km
11662,25 300 €,Lexus,NX 300h,2014-12,Benzinas / elektra,Visureigis,Automatinė,"2.5 l., 145 kW",117 900 km
11663,25 300 €,Lexus,NX 300h,2015,Benzinas / elektra,Visureigis,Automatinė,"2.5 l., 145 kW",151 900 km
11664,25 300 €,Volvo,S90,2018-09,Dyzelinas,Sedanas,Automatinė,"2.0 l.,",160 000 km
11665,25 300 €,Volvo,XC60,2019-05,Dyzelinas,Visureigis,Automatinė,"2.0 l., 173 kW",255 300 km
11666,25 400 €,Skoda,Kodiaq,2019-03,Dyzelinas,Visureigis,Automatinė,"2.0 l., 110 kW",160 000 km
11667,25 400 €,BMW,X4,2017-04,Dyzelinas,Visureigis,Automatinė,"2.0 l., 140 kW",220 000 km
11668,25 490 €,Toyota,C-HR,2021-03,Benzinas / elektra,Visureigis,Automatinė,"1.8 l., 72 kW",42 200 km
11669,25 490 €,Toyota,C-HR,2022-01,Benzinas / elektra,Visureigis,Automatinė,"1.8 l., 90 kW",6 388 km
11670,25 499 €,Peugeot,5008,2018-01,Dyzelinas,Visureigis,Automatinė,"2.0 l., 133 kW",112 901 km
11671,25 500 €,BMW,520,2018-12,Dyzelinas,Universalas,Automatinė,"2.0 l., 140 kW",78 700 km
11672,25 500 €,Mercedes-Benz,A250,2018-06,Benzinas,Hečbekas,Automatinė,"2.0 l., 165 kW",42 000 km
