,Kaina,Markė,Modelis,Metai,Kuro tipas,"Darbinis tūris, l.","Galia, kW",Rida,Kėbulo tipas,Pavarų dėžė,Defektai,Vairo padėtis,Durų skaičius
150,104999,Mercedes Benz,AMG GT,2021,Benzinas/Elektra,3.0,320,22500,Kupė/Sportas,Automatinė,Be defektų,Kairėje,4/5
151,9500,Lexus,IS 250,2011,Benzinas,2.5,153,211164,Sedanas,Automatinė,Be defektų,Kairėje,4/5
152,16600,BMW,X6,2013,Benzinas,3.0,224,202910,Visureigis,Automatinė,Be defektų,Kairėje,4/5
153,6250,Toyota,Prius,2008,Benzinas/Elektra,1.5,57,264665,Hečbekas,Automatinė,Be defektų,Kairėje,4/5
154,21900,Kia,Sportage,2018,Dyzelinas,2.0,136,25176,Visureigis,Automatinė,Be defektų,Kairėje,4/5
155,6500,Nissan,Qashqai,2010,Dyzelinas,1.5,76,262896,Visureigis,Mechaninė,Be defektų,Kairėje,4/5
156,22900,Mercedes Benz,GLA250,2018,Benzinas,2.0,155,49692,Visureigis,Automatinė,Be defektų,Kairėje,4/5
157,7500,Skoda,Superb,2013,Dyzelinas,2.0,125,211585,Sedanas,Mechaninė,Be defektų,Kairėje,4/5
158,33900,Porsche,Macan,2017,Benzinas,2.0,185,123050,Visureigis,Automatinė,Be defektų,Kairėje,4/5
159,16900,Volvo,XC60,2015,Benzinas,3.2,179,178097,Visureigis,Automatinė,Be defektų,Kairėje,4/5
160,1550,Toyota,RAV4,2002,Dyzelinas,2.0,85,213882,Visureigis,Mechaninė,Smulkūs kėbulo defektai,Kairėje,2/3
161,18300,Mercedes Benz,E200,2017,Dyzelinas,,110,290000,Sedanas,Automatinė,,Kairėje,4/5
162,8200,Fiat,Ducato,2011,Dyzelinas,2.3,120,,Komercinis,Mechaninė,,Kairėje,4/5
163,24900,Audi,A8,2014,Dyzelinas,3.0,190,158000,Kita,Automatinė,,Kairėje,4/5
164,7700,Honda,Civic,2013,Dyzelinas,1.6,88,211500,Hečbekas,Mechaninė,,Kairėje,4/5
165,9900,Mercedes Benz,ML350,2010,Dyzelinas,3.0,170,276000,Visureigis,Automatinė,,Kairėje,4/5
166,5800,Chevrolet,Captiva,2011,Dyzelinas,2.0,110,229000,Visureigis,Mechaninė,,Kairėje,4/5
167,7900,Mazda,3,2014,Dyzelinas,2.2,110,169000,Hečbekas,Mechaninė,,Kairėje,4/5
168,9900,Mitsubishi,Outlander,2014,Dyzelinas,2.2,110,249000,Visureigis,Mechaninė,,Kairėje,4/5
169,8400,Volkswagen,Golf,2012,Benzinas,2.0,147,145000,Hečbekas,Mechaninė,,Kairėje,4/5
170,11400,Ford,Mondeo,2018,Dyzelinas,2.0,110,230000,Universalas,Automatinė,,Kairėje,4/5
171,28400,Volkswagen,Amarok,2018,Dyzelinas,3.0,150,99830,Pikapas,Automatinė,,Kairėje,4/5
172,17000,Fiat,Ducato,2018,Dyzelinas,2.3,96,,Komercinis,Mechaninė,,Kairėje,2/3
173,4900,Citroen,C5,2013,Dyzelinas,2.0,120,,Universalas,Automatinė,,Kairėje,4/5
174,24600,Peugeot,308,2022,Dyzelinas,1.5,96,25000,Universalas,Automatinė,,Kairėje,4/5
175,6950,Volvo,V60,2013,Dyzelinas,2.0,100,317000,Universalas,Mechaninė,,Kairėje,4/5
176,23900,Audi,A6,2019,Dyzelinas,3.0,170,117000,,Automatinė,,Kairėje,
177,9300,Nissan,NV400,2017,Dyzelinas,2.3,107,211000,Komercinis,Mechaninė,,Kairėje,4/5
178,17300,Mazda,CX-5,2018,Dyzelinas,2.2,110,176000,Visureigis,Automatinė,,Kairėje,4/5
179,5800,Ford,S-MAX,2015,Dyzelinas,2.0,103,325000,Vienatūris,Mechaninė,,Kairėje,4/5
180,13600,Audi,Q3,2016,Dyzelinas,2.0,110,266000,Visureigis,Mechaninė,,Kairėje,4/5
181,8900,Volkswagen,Caddy Life,2017,Dyzelinas,2.0,75,109000,Komercinis,Mechaninė,,Kairėje,4/5
182,5450,Skoda,Superb,2011,Dyzelinas,1.6,77,266000,Sedanas,Mechaninė,,Kairėje,4/5
183,6950,Citroen,Jumper,2014,Dyzelinas,2.2,81,194600,Komercinis,Mechaninė,,Kairėje,4/5
184,4650,Suzuki,SX4,2008,Benzinas,1.6,79,263000,Hečbekas,Automatinė,,Kairėje,4/5
185,4750,Volvo,V60,2014,Dyzelinas,2.0,100,142000,Universalas,Mechaninė,,Kairėje,4/5
186,5250,Toyota,Yaris,2012,Dyzelinas,1.4,66,,Hečbekas,Mechaninė,,Kairėje,4/5
187,7550,Volvo,V40,2013,Dyzelinas,1.6,84,224000,Hečbekas,Mechaninė,,Kairėje,4/5
188,4950,Volkswagen,Golf,2007,Benzinas,2.0,147,194800,Hečbekas,Automatinė,,Kairėje,4/5
189,2250,Hyundai,Grand Santa Fe,2002,Dyzelinas,2.0,,,Vienatūris,Mechaninė,,Kairėje,4/5
190,1750,Volkswagen,Sharan,2001,Dyzelinas,1.9,,,Vienatūris,Mechaninė,,Kairėje,4/5
191,1950,Mercedes Benz,GLC Coupe 220,2002,Dyzelinas,2.2,,,Sedanas,Automatinė,,Kairėje,4/5
192,1950,Hyundai,Accent,2002,Dyzelinas,1.5,,201000,Hečbekas,Mechaninė,,Kairėje,4/5
193,2950,Honda,FR-V,2006,Dyzelinas,2.2,103,,Vienatūris,Mechaninė,,Kairėje,4/5
194,5950,Volkswagen,Caddy Life,2015,Dyzelinas,1.6,75,185000,Komercinis,Mechaninė,,Kairėje,4/5
195,3950,Volkswagen,Touareg,2004,Dyzelinas,5.0,233,226000,Visureigis,Automatinė,,Kairėje,4/5
196,650,Peugeot,807,2005,Dyzelinas,2.2,,258000,Vienatūris,Mechaninė,,Kairėje,4/5
197,650,Nissan,Almera,2002,Dyzelinas,2.2,85,268000,Vienatūris,Mechaninė,,Kairėje,4/5
198,1550,Toyota,Avensis Verso,2001,Dyzelinas,2.0,87,,Vienatūris,Mechaninė,,Kairėje,4/5
199,2150,Chrysler,Grand Voyager,2004,Benzinas,2.4,,217000,Vienatūris,Mechaninė,,Kairėje,4/5
200,2350,SsangYong,Rexton,2006,Dyzelinas,2.7,121,229000,Visureigis,Automatinė,,Kairėje,4/5
201,13950,Fiat,Ducato,2018,Dyzelinas,2.3,96,124800,Komercinis,Mechaninė,,Kairėje,4/5
202,5350,Volkswagen,Golf,2010,Dyzelinas,1.6,77,,Vienatūris,Mechaninė,,Kairėje,4/5
203,2250,Ford,Focus,2006,Dyzelinas,1.6,66,265000,Universalas,Mechaninė,,Kairėje,4/5
204,3950,Suzuki,SX4,2008,Dyzelinas,1.6,66,91000,Hečbekas,Mechaninė,,Kairėje,4/5
205,650,Opel,Vectra,1998,Benzinas,1.6,,240000,Universalas,Mechaninė,,Kairėje,4/5
206,950,Opel,Meriva,2005,Dyzelinas,1.7,,,Vienatūris,Mechaninė,,Kairėje,4/5
207,4850,Volkswagen,Caddy Life,2017,Benzinas,1.2,62,204503,Komercinis,Mechaninė,,Kairėje,4/5
208,1950,Ford,Mondeo,2005,Benzinas,2.0,,271000,Universalas,Mechaninė,,Kairėje,4/5
209,2250,Toyota,Avensis Verso,2003,Dyzelinas,2.0,,,Vienatūris,Mechaninė,,Kairėje,4/5
210,2250,Hyundai,Grand Santa Fe,2003,Benzinas,2.0,,128000,Vienatūris,Mechaninė,,Kairėje,4/5
211,9950,Ford,Transit,2015,Dyzelinas,2.2,92,177000,Komercinis,Mechaninė,,Kairėje,4/5
212,11950,Opel,Movano,2016,Dyzelinas,2.3,92,183055,Komercinis,Mechaninė,,Kairėje,4/5
213,12350,Fiat,Ducato,2018,Dyzelinas,2.3,96,293000,Komercinis,Mechaninė,,Kairėje,4/5
214,16550,Fiat,Ducato,2019,Dyzelinas,2.3,118,80428,Komercinis,Mechaninė,,Kairėje,4/5
215,10250,Fiat,Ducato,2017,Dyzelinas,2.3,110,132000,Komercinis,Mechaninė,,Kairėje,4/5
216,10650,Citroen,Jumper,2016,Dyzelinas,2.2,110,187000,Komercinis,Mechaninė,,Kairėje,4/5
217,17250,Mercedes Benz,Sprinter,2016,Dyzelinas,2.1,120,214391,Komercinis,Mechaninė,,Kairėje,4/5
218,16950,Mercedes Benz,Sprinter,2017,Dyzelinas,2.1,120,326611,Komercinis,Mechaninė,,Kairėje,4/5
219,6950,Mercedes Benz,Sprinter,2012,Dyzelinas,2.1,120,227743,Komercinis,Mechaninė,,Kairėje,4/5
220,14250,Volkswagen,Crafter,2013,Dyzelinas,2.0,120,155022,Kita,Mechaninė,,Kairėje,2/3
221,12950,Nissan,NV400,2018,Dyzelinas,2.3,107,182388,Komercinis,Mechaninė,,Kairėje,4/5
222,10350,Nissan,Qashqai,2017,Benzinas,1.2,85,229000,Visureigis,Mechaninė,,Kairėje,4/5
223,5950,Skoda,Fabia,2019,Benzinas,1.0,55,56000,Hečbekas,Mechaninė,,Kairėje,4/5
224,6250,Citroen,C5,2014,Dyzelinas,2.0,120,196000,Universalas,Automatinė,,Kairėje,4/5
